screen_name,text,date,favorite_count,retweet_count,location
ChrisxADFx,"https://t.co/YrXNusD0qs
Uploaded a new video yestersay check it out! Havent posted in a week since i was busy feels… https://t.co/9EbpOHavpE",2019-11-22 00:22:42,1,0,
LoriiPops,"RT @A44games: Jokell wants to know how your Movember is going? He also exclaims that his moustache is his best facial asset.

#ashen #Movem…",2019-11-21 19:29:34,0,2,"Wellington City, New Zealand"
milan_esc,"RT @eurovisionfrnet: BIÉLORUSSIE JUNIOR 2019 : 2ndes répétitions de Liza Misnikova

https://t.co/jfCm3NF2TE

#Eurovision #JESC2019 #ShareTh…",2019-11-21 11:16:36,0,1,
eurovisionfrnet,"BIÉLORUSSIE JUNIOR 2019 : 2ndes répétitions de Liza Misnikova

https://t.co/jfCm3NF2TE

#Eurovision #JESC2019… https://t.co/ltbp9Nk5qo",2019-11-21 11:08:29,3,1,France
BenjaminHowitt,"RT @A44games: Jokell wants to know how your Movember is going? He also exclaims that his moustache is his best facial asset.

#ashen #Movem…",2019-11-21 07:57:08,0,2,
A44games,Jokell wants to know how your Movember is going? He also exclaims that his moustache is his best facial asset.… https://t.co/AcBPWugoK9,2019-11-21 02:40:10,76,2,"Wellington, New Zealand"
JazzynupeXbox,"RT @Confusus90: Finally took down the last boss of #Ashen ,really cool and great game by @A44games , excited to play whats Next! Thanks for…",2019-11-21 00:02:48,0,2,"California, USA"
A44games,"RT @Confusus90: Finally took down the last boss of #Ashen ,really cool and great game by @A44games , excited to play whats Next! Thanks for…",2019-11-21 00:00:06,0,2,"Wellington, New Zealand"
Confusus90,"Finally took down the last boss of #Ashen ,really cool and great game by @A44games , excited to play whats Next! Th… https://t.co/MV5G2QLsMl",2019-11-20 20:45:10,30,2,Norway Bergen
LoreEmilyWorld,"RT @eurovisionfrnet: BIÉLORUSSIE JUNIOR 2019 : 1ères répétitions de Liza Misnikova

https://t.co/tWycA98W44

#Eurovision #JESC2019 #ShareTh…",2019-11-19 15:50:39,0,1,Spain
eurovisionfrnet,"BIÉLORUSSIE JUNIOR 2019 : 1ères répétitions de Liza Misnikova

https://t.co/tWycA98W44

#Eurovision #JESC2019… https://t.co/5HOsAFk0pD",2019-11-19 15:18:01,3,1,France
nilushka_ashen,#ashen #nilushka #ashennilushka #evil #slwwe #ashene https://t.co/swSNuf88PW,2019-11-19 11:50:14,0,0,"Kandy, Sri Lanka"
cypher_vision,"INTO THE LIGHT REPORT!!!
Taking A Look:#Ashen
Part 1 https://t.co/vmva37pEiY",2019-11-18 19:41:50,0,0,"Fort Tarsis, Bastion"
Trashlevania,Like for real... #Ashen #XboxShare https://t.co/s6yCB8fC4H,2019-11-18 12:01:55,5,0,SC by way of MD
PushpaYathindra,@irajonline what happen to #ashen now,2019-11-17 08:22:11,3,0,Sri Lanka
GTM618,"My favorite games 2019 so far are in no order
#ConcreteGenie
#ControlRemedy
#LinksAwakening 
#LuigisMansion3… https://t.co/my6jYkZccr",2019-11-17 05:51:27,8,0,Canada
LasithFer,"Social Media ජනපති #Ashen vs #iraj

https://t.co/floZsmtnuF

https://t.co/07EEoCAa5i

#PresPollSL",2019-11-14 12:05:51,2,1,"Bandaragama, Sri lanka"
BuhoComoTu,#BimBamToi #fire #WeNeedLove #Misnikova #BTRC #Pepelny #Ashen #Пепельный #elianagomezblanco #ogaemalta #wearemore… https://t.co/LDoIB8NWWz,2019-11-23 23:58:44,1,0,Barcelona 
YTIR2019,"ممكن هذول بس الي يستاهلوا 
بس برضه ميه 
#ashen 
#wattam https://t.co/epn38Jiniq",2019-11-23 16:14:03,0,0,"Jeddah,KSA/Amman,JOR"
