artofstarry,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 23:59:27,0,29,"Emilia Romagna, Italia"
Jays_nazuna_116,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 23:52:00,0,94, JAPAN 
CyrusMelissa,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 23:47:13,0,94,Sunnydale
bluenutella14,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 23:43:36,0,29,
benswif38104544,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 23:40:57,0,29,Bikini Bottom 
RegionPS,Life is Strange 2 muestra algunas escenas alternativas en un tráiler inédito - https://t.co/8D6BPWhG10 -… https://t.co/iX3Zbm9jTs,2019-11-22 23:29:58,1,0,España/Spain
nerdyflow,RT @EdouardBee: When your bro start to play with a insect and it’s creepy... #LifeisStrange2 #seandiaz #danieldiaz #journeysend #dontnod #f…,2019-11-22 23:17:25,0,2,"Nevada, USA"
cardigansRcool,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 23:16:28,0,94,uk
GalaxyStudios15,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 23:15:43,0,94,
EdouardBee,When your bro start to play with a insect and it’s creepy... #LifeisStrange2 #seandiaz #danieldiaz #journeysend… https://t.co/AZipuJXirx,2019-11-22 23:14:20,13,2,
JENNYVILLATORO5,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 23:13:21,0,92,"Glen Burnie, MD"
itsthatonenerd,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 23:11:28,0,92,
Laurenfitz2001,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 23:11:21,0,29,Ireland🇮🇪
Foxyhobbit,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 23:04:58,0,94,
obicgames,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 23:03:28,0,92,España/Spain
JENNYVILLATORO5,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 23:02:26,0,29,"Glen Burnie, MD"
GabbyAn70328670,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 23:01:46,0,94,
PSLifeStyle,#LifeisStrange2 x Centrepoint partnership will see Square Enix help to raise awareness about youth homelessness.… https://t.co/AekP0Zm4Jw,2019-11-22 23:00:09,6,1,Everywhere!
BerkeKavak3,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 22:59:34,0,29,
meIancholyhills,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 22:49:36,0,92,"rhi, 20/11/15 x "
GDog_009,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 22:46:30,0,29,Deep Fried Turkey
_teomatic,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 22:45:50,0,92,In den Oasis
_teomatic,"RT @DONTNOD_Ent: #LifeisStrange2 Episode 5 'Wolves' will release December 3rd, 2019!

Art by @edouardcaplain 🐺 https://t.co/wWas5kHudc",2019-11-22 22:44:58,0,107,In den Oasis
nelly_belly_5,I’ve played #LifeIsStrange on PS4 and I found it really boring but I really want to play #LifeIsStrange2 after watc… https://t.co/EDGlD6uICn,2019-11-22 22:43:44,0,0,
arturpinetree,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 22:38:38,0,92,"Fortaleza, Brasil"
ComunidadLIS,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 22:38:37,0,29,Barcelona /Arcadia Bay
DomTheBombYT,RT @ELVPLAY: How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 22:28:02,0,29,"Cleveland, OH (THE LAND)"
DitoAlvarez29,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 22:25:56,0,94,"Florida, USA"
Helenjoylast2,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 22:23:47,0,94,United Kingdom
JerseyFierce,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 22:23:10,0,94,Brussels (Belgium)
ELVPLAY,How will it end? #LifeisStrange2 https://t.co/QBO5yzBKVI,2019-11-22 22:18:28,154,29,
DEMONESSCloeMoe,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 22:17:48,0,94,"Bolton, England"
LittleMiniMidg1,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 22:09:03,0,94,"England, United Kingdom"
spobyforever57,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:58:55,0,94,NC
Goorsic,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 21:57:02,0,92,"Arcadia Bay, Pochinki"
TheVortexClub,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 21:54:59,0,92,Academia Blackwell.
justdechart,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:54:45,0,94,esp/eng
Angeal78,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 21:50:06,0,92,Endarth
AleXisGTZ4,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 21:49:02,0,92,"Culiacán, Sinaloa, México."
edgepression,"RT @lis2mania: Not every story has a happy ending... #LifeIsStrange2 #JourneysEnd 
Src: https://t.co/XCs8OykHV0 https://t.co/fTfz2ISZeL",2019-11-22 21:44:20,0,3,Europe i guess
edgepression,"RT @TabisShrine: More Sean!
How to look like Ep3 him: 
1. Let your hair grow out
2. Don't shower
3. Be stressed all the time
Follow my/his…",2019-11-22 21:43:37,0,10,Europe i guess
zaionic,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:40:37,0,94,
IloveCa95632603,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:35:11,0,94,The Netherlands
JessicaWilde20,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:31:46,0,94,
pencilpilots,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:28:23,0,94,
scarlettthornss,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:26:23,0,94,"Deerfield Beach, FL"
nelly_belly_5,I just preordered #LifeIsStrange2: Collector’s Edition for PS4 and I’ve only watched episode 1 being played. I have… https://t.co/OB3UzESkIK,2019-11-22 21:25:31,1,0,
Canuck_Sweety33,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:14:56,0,94,
DJANDY_official,RT @rennanrod: #LifeIsStrange #LifeIsStrange2 #JourneysEnd The wolves...❤️ https://t.co/tmjiQGshYU,2019-11-22 21:09:36,0,2,
chi_deviant,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 21:05:07,0,94,Canada
Le3washy_,"RT @DONTNOD_Ent: #LifeisStrange2 Episode 5 'Wolves' will release December 3rd, 2019!

Art by @edouardcaplain 🐺 https://t.co/wWas5kHudc",2019-11-22 20:58:41,0,107,
nitemare34,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 20:57:48,0,94,California
DerSchorki,"RT @BryanDechart: ⭕️LIVE in 2 Hours⭕️ #JediFallenOrder 

&lt; RT to INVITE! &gt;

Our Official Schedule w/ timezones is now our https://t.co/HL4I…",2019-11-22 20:56:07,0,94,"Frankfurt am Main, Hessen"
Le3washy_,"RT @Moerph95: Literally the #JourneysEnd 

#LifeisStrange2 https://t.co/nEsHbVbtqI",2019-11-22 20:55:25,0,92,
